weight4,setup4,speed4,weight3,setup3,speed3,weight2,setup2,speed2,weight1,setup1,speed1,wind_dir,wind_speed
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
102,S3,40,69,S1,40,45,X,35,78,SO2,39,205,12.8
33,53,37,53,X,35,84,SN2,32,45,X,30,180,10.4
89,SN2,39,120,SN2 X2 S3,41,85,SN2,36,X,X,X,184,11.1
67,S1,39,59,X,49,65,S1,39,X,X,X,209,9.8
X,X,X,X,X,X,50,X,43,73,SO2,40,136,12
71,SO2,37,80,SN2,39,83,SN2,40,78,SN2,35,149,12.4
114,SN2 X2 S3,47,67,S1,48,84,SN2,35,84,SN2,32,195,8.3
103,SN2 S3,37,82,SN2,33,80,SN2,30,86,SN2,35,178,11.6
73,SO2,37,69,SO2,35,56,X,40,53,X,50,215,11.9
TW50,SLIDER,45,TW50,SLIDER,37,X,X,X,X,X,X,160,24.8
72,SN2,52,77,SN2,52,X,X,X,X,X,X,163,24.8
89,S3 SN2,43,93,S3 SN2,46,X,X,X,X,X,X,187,21.7
107,S3 SN2X2,48,70,SN2,43,X,X,X,X,X,X,222,24.7
X,X,X,X,X,X,TW50,SLIDER,43,TW50 ,SLIDER,38,167,25.9
93,S3 SN2,45,80,S3 S1,52,64,SO2,52,X,X,X,153,23.4
X,X,X,60,SN2,31,80,S3 SO2,42,74,S3,36,180,22.9
X,X,X,108,S3 SN2X2,49,63,SN2,45,83,S3 SO2,45,181,22.3
66,SN2,37,109,S3 SN2X2,46,71,S3,40,102,S3 SN2X2,46,164,20.3
94,S3 SN2,38,59,SN2,36,66,SN2,38,89,S3 SN2,38,158,22
89,S3 SN2,46,70,S3,37,X,X,X,X,X,X,210,20.7
74,S3 ,38,103,S3 SN2X2,53,89,S3 SN2,43,X,X,X,161,20.1
59,SO2,36,79,S3 S1,35,48,S1,39,73,S3,28,184,19.1
93,S3 SN2,45,101,S3 SN2X2,46,78,S3,45,101,S3 SN2X2,48,169,18.9
79,S3 S1,40,92,S3 SN2,45,98,S3 SN2 SO2,50,81,S3 S1,45,177,17.1
65,SN2,37,90,S3 SN2,47,X,X,X,X,X,X,187,19.8
76,S3 S1,31,76,S3 S1,38,86,S3 SN2,31,X,X,X,200,21
80,S3 S1,47,83,S3 S1,41,69,SN2,37,75,S3,35,154,18
92,S3 SN2,34,67,SN2,34,76,S3,43,75,S3,34,153,17.1
98,S3 SN2X2,40,91,S3 SN2,35,71,S3,30,101,S3 SN2X2,37,184,15.6
98,S3 SN2X2,37,84,S3 S1,40,96,S3 SN2X2,40,65,SN2,34,201,12.5
41,S1,24,78,S3 S1,31,97,S3 SN2X2,32,X,X,X,179,14.4
80,S3,41,71,SN2,33,70,SN2,33,94,S3 SN2,38,229,13.8
72,SN2,26,106,S3 SN2X2,33,105,S3 SN2X2,30,71,SN2,26,117,13.5
68,SO2,42,83,S3,39,66,SO2,39,X,X,X,193,15.1
82,S3,37,62,SO2,31,85,S3,37,45,X,42,230,11.5
108,S3 SN2X2,34,91,S3 SO2,34,100,S3 SN2 SO2,33,86,S3,28,168,11.7
68,SO2,33,60,S1,39,69,SO2,34,81,SN2,35,151,12.3
109,S3 SN2X2,40,65,S1,41,73,SO2,38,X,X,X,198,15.5
93,S3 SO2,42,80,SN2,38,93,S3 SO2,42,69,SO2,38,197,12.4
67,SO2,31,86,SN2,40,69,SO2,35,92,S3 SO2,33,180,13.2
76,SO2,28,56,S1,29,87,SN2,30,78,SO2,31,210,9.2
62,S1,50,51,X,45,83,SN2,42,95,S3 SO2,42,231,15.8
85,SN2,36,59,S1,34,103,S3 SN2X2,37,X,X,X,151,12.8
X,X,X,56,S1,37,57,S1,38,56,S1,38,192,11.1
63,S1,44,63,S1,46,57,S1,39,X,X,X,232,9.4
97,S3 SN2,39,83,SN2,41,81,SN2,45,78,SO2,45,227,9
87,SN2,37,68,SO2,34,63,SO2,31,97,S3 SN2,33,161,13.2
63,SO2,32,78,SN2,35,64,SO2,28,67,SO2,35,215,13.8
88,S3,36,84,S3,34,89,S3,36,75,SN2,35,259,17
81,SN2,39,96,S3 SN2,39,75,SN2,36,78,SN2,31,186,13.4
82,SN2,30,87,SN2,35,46,X,35,65,SO2,,174,14.4
84,SN2,41,99,S3 SN2,45,61,S1,37,X,X,X,155,12.3
95,S3 SO2,34,106,S3 SN2 SO2,38,86,SN2,32,107,S3 SN2 SO2,36,238,12
55,S1,37,92,S3 SO2,36,65,S1,44,73,SO2,42,230,8.2
82,SN2,35,95,S3 SO2,35,99,S3 SN2,33,69,SO2,29,155,12.4
83,SN2,35,81,SN2,33,88,S3,33,110,S3 SN2 SO2,44,240,11.9
81,SN2,37,100,S3 SN2,29,68,SO2,39,110,S3 SN2 SO2,43,255,14.5
60,S1,36,38,48,33,34,44,28,81,SN2,30,221,12.5
48,X,35,33,43,28,83,SN2,33,X,X,X,231,17.4
64,SO2,25,67,SO2,31,60,S1,40,70,SO2,33,221,13.3
68,SO2,34,65,SO2,31,55,S1,34,99,S3 SN2 SO2,35,206,15
88,SN2,36,88,SN2,40,80,SN2,36,52,S1,40,238,16.5
67,S1,42,79,SN2,27,73,SO2,27,80,SN2,36,184,14.4
74,SO2,35,69,SO2,37,61,S1,42,X,X,X,217,10.7
80,SN2,29,109,S3 SN2X2,34,92,S3 SN2,29,96,S3 SN2 SO2,34,231,13.3
85,SN2,35,85,SN2,37,66,S1,40,58,S1,33,165,13.8
90,S3,36,64,S1,33,38,48,37,88,SN2,37,148,11.2
74,SO2,36,77,SO2,38,71,SO2,33,84,SN2,34,152,16.2
81,SN2,34,74,SO2,32,64,S1,32,80,SN2,37,160,13.9
X,X,X,83,SN2,38,67,S1,45,86,SN2,41,165,15.5
72,SO2,30,81,SN2,36,80,SN2,33,88,SN2,38,158,12.2
62,S1,33,65,S1,34,73,SO2,29,77,SO2,24,221,12.1
100,S3,40,104,S3 SO2,37,59,S1,40,80,SN2,35,208,13.4
86,SN2,46,67,S1,46,67,S1,47,64,S1,41,213,11.1
68,SO2,40,106,S3 SN2,40,64,S1,47,70,SO2,37,160,13.9
95,S3,40,58,S1,42,65,S1,44,87,SN2,35,160,15
99,S3,34,79,SN2,37,98,S3,40,62,S1,42,168,13.9
85,SN2,41,60,S1,41,78,SO2,43,90,SN2,38,167,14.2
91,S3,38,77,SO2,41,80,SO2,41,83,SN2,41,140,14
91,S3,39,68,SO2,40,85,SN2,36,108,SO2 S3,38,162,16.6
74,SO2,35,77,SO2,40,50,X,42,98,S3,38,177,13.4
55,S1,34,88,SN2,38,75,SO2,39,52,S1,34,212,17
66,S1,43,78,SO2,40,66,S1,37,X,X,X,212,14
70,SO2,33,74,SO2,33,78,SO2,39,75,SO2,39,181,12.4
83,SN2,42,82,SN2,40,85,SN2,37,X,X,X,218,10.4
96,S3,40,71,SO2,37,58,S1,38,94,S3,42,147,158
71,SO2,38,64,S1,40,102,SO2 S3,45,72,SO2,34,155,15.6
82,SN2,39,66,S1,40,100,S3,43,87,SN2,38,62,14.9
60,S1,43,43,X,42,81,SN2,36,X,X,X,190,14.3
105,SN2 S3,43,58,S1,43,X,X,X,X,X,X,187,13.1
97,S3,40,76,SO2,37,70,SO2,37,X,X,X,204,15.4
80,SN2,41,70,SO2,34,78,SN2,32,85,SN2,42,193,14.2
79,SN2,36,82,SN2,33,60,S1,30,86,SN2,26,155,13.7
69,S1,37,89,SN2,37,67,S1,45,83,SN2,37,208,11.1
90,SN2,37,78,SO2,39,88,SN2,38,79,SO2,39,174,16.9
X,X,X,X,X,X,70,SO2,34,88,SN2,33,174,16.8
89,SN2,40,71,SO2,33,74,SO2,39,X,X,X,205,13.4
85,SN2,44,65,S1,48,73,SO2,41,75,SO2,40,197,13.9
68,S1,36,85,SN2,38,86,SN2,44,X,X,X,162,14
76,SO2,37,78,SO2,46,65,S1,46,X,X,X,182,13.4
57,S1,38,85,SN2,40,95,S3,43,X,X,X,198,14.3
84,SN2,39,104,S3 SO2,42,90,S3,39,X,X,X,157,16.6
70,SO2,36,61,S1,38,93,S3,42,89,SN2,39,217,17.3
99,S3 SO2,33,99,S3 SO2,30,75,SO2,31,91,S3,29,169,15.3
75,SO2,38,65,S1,40,78,SO2,38,78,SO2,35,191,16.9
74,SO2,34,104,SO2 S3,43,69,SO2,35,80,SN2,37,207,14.2
86,SN2,41,75,SO2,36,X,X,X,80,SN2,36,156,?
91,S3,45,78,SO2,45,67,S1,48,83,SN2,44,209,15.7
82,SN2,41,101,S3 SN2,43,64,SO2,42,56,S1,45,158,21.7
X,X,X,75,SN2,36,70,SO2,41,56,S1,39,208,14.5
X,X,X,78,SN2,29,61,S1,35,100,SN2 S3,35,164,17.6
76,SO2,43,71,SO2,35,91,S3,37,50,X,42,160,16.9
70,SO2,35,58,S1,37,90,S3,34,X,X,X,240,13.3
54,S1,41,71,SO2,35,81,SN2,39,69,SO2,31,160,13.6
68,SO2,35,79,SN2,42,74,SO2,44,78,SN2,42,162,14.2
118,S3 SN2X2,44,95,S3 S1,44,97,S3 SO2,41,X,X,X,162,17
99,S3 S02,42,59,S1,36,97,S3 S02,40,X,X,X,205,16.7
94,S3 S02,36,80,SN2,33,80,SN2,31,67,S02,28,155,14.1
81,SN2,38,78,SN2,34,89,S3,44,98,S3 S02,44,171,13.6
65,SO2,39,80,SN2,41,78,SN2,39,77,SN2,37,153,15.3
97,S3 SO2,43,76,SN2,38,68,SO2,38,69,SO2,37,159,15.9
64,SO2,36,60,SO2,32,80,SN2,39,63,S02,36,152,14.1
51,S1,41,78,SN2,38,51,S1,36,52,S1,41,184,15
53,S1,27,88,S3,27,75,SN2,29,63,SO2,28,210,13.2
71,SO2,35,87,S3,33,70,SO2,31,X,X,X,191,19
97,S3 S02,28,68,SO2,31,52,S1,28,64,SO2,26,191,11.4
93,S3 S02,32,95,S3 S02,34,89,S3,32,106,S3 SN2,37,191,11.4
96,SO2 S3,35,59,S1,33,55,S1,36,77,SO2,36,198,19.2
101,SO2 S3,36,70,SO2,36,60,S1,34,85,SN2,34,216,13.6
112,S3 SN2,43,93,S3,40,73,SO2,33,107,S3 SN2,31,229,12.3
100,S3 SO2,32,70,SO2,30,67,SO2,25,X,X,X,231,15.6
99,S3 SO2,36,94,S3,37,68,SO2,39,72,SO2,40,230,17.5
98,SO2 S3,30,88,SN2,33,79,SO2,38,106,SN2 S3,35,180,12
97,S1 S3,40,90,S3,31,74,SO2,31,X,X,X,202,12.6
61,S1,36,74,SO2,32,81,SN2,32,85,SN2,32,206,15.7
104,SO2 S3,32,71,SO2,32,83,SO2,28,X,X,X,245,14
120,S3 SN2X2,32,62,S1,32,69,S1,42,69,S1,40,237,13.5
96,SN2,46,94,SN2,42,96,SN2,41,X,X,X,215,14.3
63,S1,37,68,S1,37,50,X,33,71,S1,43,172,9.4
