weight4,setup4,speed4,weight3,setup3,speed3,weight2,setup2,speed2,weight1,setup1,speed1,wind_dir,wind_speed,
85,S1,41,62,X,34,71,S1,37,64,X,35,125,4.9,
84,S1,38,65,X,41,59,X,35,73,S1,37,139,9.2,
54,X,39,101,SO2,38,51,61,36,86,SO2,36,231,1.7,
65,X,42,82,SO2,30,64,X,47,80,SO2,30,300,5.6,
64,X,40,56,X,36,95,SO2,32,76,S1,40,146,3.8,
61,X,39,51,X,35,87,SO2,35,57,X,37,129,3,
X,X,X,69,S1,40,94,SO2,44,82,SO2,45,181,6.1,
75,S1,45,38,68,39,51,X,40,72,S1,44,224,11.9,
87,SN2,36,58,S1,40,82,SO2,43,83,SO2,45,186,9.6,
79,SO2,38,71,S1,41,83,SN2,38,85,SN2,32,207,10.5,
X,X,X,78,SO2,34,87,SN2,47,104,S3,45,224,8.9,
X,X,X,61,S1,39,69,SO2,39,103,S1 S3,41,209,10.2,
55,S1,33,61,S1,34,62,S1,38,58,S1,35,223,9.8,
91,S3,33,60,S1,33,101,S1 S3,41,X,X,X,208,9,
X,X,X,74,SO2,28,91,S3,30,79,SO2,35,211,11.8,
X,X,X,95,S3,30,84,SO2,33,82,SO2,33,229,9.5,
71,S1,41,88,SO2,37,114,SN2 S3,30,81,SO2,30,247,7.9,
103,S1 S3,36,72,S1,42,61,S1,37,76,SO2,32,257,6.8,
86,SO2,39,65,S1,39,81,SO2,39,110,SN2 S3,39,231,11.6,
57,S1,40,116,SN2 S3,47,55,S1,36,90,SN2,45,214,13,
X,X,X,75,SO2,32,78,SO2,37,80,SO2,36,224,15.1,
89,SN2,34,76,SO2,39,69,SO2,39,87,SN2,35,200,12.4,
86,SN2,36,78,SO2,33,76,SO2,33,80,SO2,36,221,13,
81,SO2,37,73,SO2,39,88,SN2,34,117,SN2 S3,37,217,9.4,
106,SO2 S3,35,85,SN2,32,88,SN2,31,53,S1,31,241,12.7,
62,S1,41,58,S1,39,68,S1,40,90,S3,39,140,14.6,
73,SO2,40,67,S1,45,75,SO2,42,104,SO2 S3,46,217,11.9,
X,X,X,X,X,X,74,SO2,40,75,SO2,42,217,10.5,
75,SO2,34,55,S1,36,64,S1,37,118,SN2 S3 A,30,241,12.5,
69,SO2,32,68,SO2,34,61,S1,36,103,SO2 S3,36,205,11.8,
88,SN2,36,55,S1,36,60,S1,35,69,SO2,30,248,10.5,
78,SO2,34,77,SO2,38,62,S1,42,95,S3,32,246,12.6,
80,SO2,35,75,SO2,36,69,S1,39,X,X,X,229,11.7,
72,SO2,31,64,S1,34,98,S3,34,X,X,X,241,11.3,
91,S3,25,55,S1,24,74,SO2,25,72,SO2,25,243,9.9,
95,S3,27,77,SO2,29,78,SO2,28,X,X,X,328,10.7,
90,SN2,35,98,SN2,35,115,S3,44,63,S1,35,222,10.9,
X,X,X,66,S1,39,82,SO2,42,71,S1,39,210,11.8,
92,SN2,37,71,S1,46,96,SN2,35,X,X,X,198,9.8,
79,SO2,35,51,X,35,85,SO2,37,118,SN2 S3,44,219,9.3,
80,SO2,37,78,SO2,37,84,SO2,36,58,S1,34,214,17.4,
98,SN2,46,49,59,52,81,SO2,39,53,X,46,221,13,
64,S1,40,78,SO2,40,83,SO2,40,55,S1,36,172,13.7,
85,SO2,45,81,SO2,43,78,SO2,42,X,X,X,174,10.4,
103,S3,41,64,S1,40,94,S3,40,80,SO2,38,191,10.1,
80,SO2,36,97,S3,36,60,S1,33,76,SO2,33,235,6.4,
111,S1 S3,41,106,S1 S3,41,102,S3,36,89,SN2,33,191,11.2,
68,S1,34,62,S1,34,47,57,32,64,S1,32,191,7.6,
63,S1,38,75,SO2,30,55,S1,27,X,X,X,229,9.5,
67,S1,34,81,SO2,32,67,S1,32,99,S3,28,177,11.3,
65,S1,44,94,SN2,39,94,SN2,39,73,SO2,32,218,11.7,
95,SN2,42,57,S1,38,94,SN2,42,88,SO2,38,181,11.1,
83,SO2,39,85,SO2,42,66,S1,42,106,S1 S3,48,208,10.9,
55,S1,33,74,SO2,32,58,S1,32,57,S1,33,229,8.5,
86,SN2,36,57,S1,31,57,S1,31,76,SO2,36,175,12,
87,SN2,33,72,SO2,33,67,S1,41,80,SO2,38,203,14.7,
85,SN2,39,76,SO2,40,75,SO2,39,66,S1,47,205,13.2,
54,S1,40,48,58,44,56,S1,35,59,S1,40,157,9.8,
74,SO2,34,84,SN2,34,68,S1,42,X,X,X,172,12.5,
73,SO2,40,83,SN2,42,65,S1,46,78,SO2,40,204,10.4,
89,SN2,35,74,SO2,34,69,SO2,31,90,SN2,31,180,11.3,
104,S3,42,94,SN2,39,72,SO2,32,84,SN2,32,207,10,
62,S1,40,72,SO2,38,98,SN2,40,81,SO2,39,205,8.7,
80,SO2,41,85,SN2,36,67,S1,41,X,X,X,143,11,
85,SO2,40,54,S1,40,62,S1,44,91,SN2,36,162,10.9,
72,SO2,35,97,SN2,40,66,S1,42,86,SO2,38,152,9.2,
85,SO2,36,54,S1,35,86,SO2,42,78,SO2,36,209,9.9,
58,S1,33,83,SO2,35,86,SO2,39,X,X,X,243,7.4,
86,SO2,37,83,SO2,39,73,S1,41,X,X,X,203,13.4,
97,SN2,50,83,SO2,44,80,SO2,44,85,SN2,55,183,10.7,
58,S1,36,59,S1,36,90,S3,34,78,SO2,34,193,12,
102,S3 A,30,78,SO2,36,70,SO2,32,64,S1,32,156,9.8,
87,SN2,40,63,S1,30,73,SO2,40,73,SO2,44,249,7.5,
70,SO2,40,84,SN2,40,66,S1,46,X,X,X,219,8.7,
X,X,X,57,S1,45,75,SO2,40,56,S1,35,144,11,
X,X,X,68,SO2,39,56,S1,39,73,SO2,39,148,11.8,
X,X,X,73,SO2,32,64,S1,30,66,SO2,31,149,11.1,
55,S1,34,75,SO2,36,86,SN2,35,55,S1,24,206,12.5,
72,SO2,37,92,SN2,33,36,46,30,79,SO2,37,156,6.9,
68,S1,35,83,SO2,35,58,S1,37,62,S1,37,208,9.8,
X,X,X,76,SO2,40,62,S1,37,47,X,40,153,8.3,
66,S1,46,62,S1,44,54,S1,44,77,SO2,40,172,13.5,
58,S1,35,98,S3,37,66,S1,41,88,SN2,39,146,13.9,
X,X,X,65,SO2,24,92,S3,35,65,SO2,24,210,12.4,
X,X,X,87,SN2,30,98,S3,34,91,S3,27,201,7.5,
X,X,X,84,SN2,30,88,SN2,35,93,S3,31,222,6.1,
92,S3,32,67,SO2,29,68,SO2,25,66,SO2,25,210,7.8,
83,SO2,38,107,S1S3,42,63,S1,35,93,S3,35,229,8.9,
103,S1S3,36,66,S1,30,74,SO2,27,95,S3,30,161,7,
74,SO2,23,88,SN2,30,51,X,36,81,SO2,32,187,7.2,
X,X,X,94,S3,33,69,SO2,27,X,X,X,250,8.3,
65,S1,43,62,S1,43,112,SN2S3,38,66,S1,38,194,12.4,
91,S3,34,91,S3,32,70,SO2,29,84,SN2,30,172,11,
X,X,X,90,S3,30,55,S1,32,64,S1,34,153,11.5,
TW50,X,40,TW50,X,32,TW50,X,32,TW50,X,42,137,3.1,
86,SO2,33,63,X,30,73,S1,40,92,SN2,27,113,2.7,
X,X,X,88,SO2,35,53,X,27,64,X,33,103,2.5,
81,SO2,33,71,S1,41,96,SN2,35,87,SO2,35,105,5.7,
88,SO2,41,97,SN2,38,63,X,41,39,69,48,133,3.9,
X,X,X,77,S1,51,81,SO2,29,X,X,X,143,3.9,
X,X,X,67,S1,38,66,S1,40,67,S1,32,135,6.4,
X,X,X,82,SO2,35,77,SO2,31,91,SN2,31,143,6.1,
100,S3,26,82,SO2,36,96,SN2,42,110,S1S3,46,132,4.6,
74,SO2,32,66,S1,28,76,SO2,28,85,SO2,32,193,4.5,
62,S1,26,89,SO2,40,53,X,33,X,X,X,217,3.3,
X,X,X,57,X,38,51,X,25,56,X,25,156,2.1,
X,X,X,86,SO2,30,48,58,30,69,S1,37,119,1.3,
43,X,30,59,S1,35,46,X,25,52,X,32,149,7.2,
82,SO2,30,76,SO2,32,90,SN2,30,89,SN2,32,155,8.2,
59,S1,26,66,S1,35,70,SO2,19,X,X,X,150,7.4,
51,X,38,87,SO2,42,69,S1,40,68,S1,36,172,5.8,
90,SN2,25,55,X,37,82,SO2,25,80,SO2,26,148,3.9,
91,SN2,29,66,S1,30,104,S3,35,100,SN2,33,132,1.9,
92,SN2,26,86,SO2,26,90,SN2,33,56,X,33,134,5,
122,SO2S3,38,96,SN2,25,92,SN2,22,X,X,X,143,3.2,
75,SO2,27,58,X,37,67,S1,27,64,S1,26,185,3.1,
71,S1,36,100,SN2,27,66,S1,34,72,S1,36,153,2.1,
X,X,X,37,57,35,60,S1,26,82,SO2,30,151,3.8,
58,X,35,100,SN2,27,57,X,33,91,SN2,25,218,3.8,
76,SO2,24,53,X,36,58,X,34,57,X,24,230,4.7,
66,S1,34,60,X,39,73,S1,34,80,SO2,24,265,4.1,
85,SO2,32,62,X,24,97,SN2,20,102,SN2,24,281,2.6,
106,SN2,32,66,X,32,100,SN2,20,70,S1,32,295,1.9,
66,X,41,90,SO2,34,96,SN2,17,62,X,36,318,2.4,
94,SO2,27,101,SO2,38,X,X,X,X,X,X,330,1.2,
79,SO2,28,72,S1,28,93,SO2,37,57,X,37,57,2.2,
117,S3,42,77,S1,42,56,X,40,77,S1,38,136,1.3,
60,X,42,92,SO2,36,107,S3,42,78,S1,30,139,1.3,
79,S1,28,98,SN2,34,73,S1,30,87,SO2,26,98,2.2,
110,S3,37,86,SO2,35,63,X,35,86,SO2,35,107,1.3,
X,X,X,X,X,X,71,S1,37,71,S1,33,27,1.3,
91,SO2,46,59,X,54,67,X,46,73,S1,36,162,2.3,
77,S1,45,105,S3,42,110,S3,30,56,X,35,93,2.5,
88,SO2,37,88,SO2,30,57,S1,27,87,SO2,30,111,3.6,
68,S1,38,62,S1,28,49,X,28,78,S1,47,89,1.9,
69,S1,39,55,X,30,79,S1,36,82,SO2,28,96,2.1,
X,X,X,X,X,X,61,S1,33,94,SN2,23,133,1,
97,SN2,28,103,S3,26,69,S1,35,93,SN2,25,33,2.2,
92,SO2,36,89,SO2,32,48,X,30,75,S1,36,37,2.2,
64,S1,35,91,SO2,35,83,SO2,29,76,S1,34,23,2.1,
77,S1,38,94,SN2,36,74,S1,36,98,SN2,30,82,2.8,
55,X,36,77,S1,36,90,SO2,24,87,SO2,26,11,1.4,
78,S1,33,65,S1,31,66,S1,31,X,X,X,58,1.9,
70,S1,40,55,X,35,53,X,32,71,S1,30,122,1.9,
86,SO2,32,87,SO2,36,114,S3,43,85,SO2,32,124,4.3,
81,SO2,30,61,S1,30,85,SO2,39,70,S1,39,128,7.5,
71,S1,36,62,S1,39,93,SN2,29,56,X,36,110,6.2,
70,S1,37,87,SO2,33,72,S1,37,83,SO2,30,122,6.5,
67,S1,37,69,S1,37,64,S1,33,61,S1,27,115,6,
49,X,33,93,SN2,30,91,SN2,27,107,S3,30,127,3.6,
88,SO2,38,83,SO2,30,89,SO2,38,86,SO2,28,134,2.8,
71,S1,38,73,S1,35,90,SO2,32,97,SN2,27,94,3.1,
67,S1,36,81,SO2,33,108,S3,23,83,SO2,30,67,2.4,
119,S3,41,83,SO2,32,81,SO2,32,71,S1,39,118,1.3,
113,S3,32,79,SO2,21,66,S1,36,75,S1,36,60,1.6,
90,SO2,30,92,SO2,27,82,SO2,22,X,X,X,338,1.6,
72,S1,35,90,SO2,32,89,SO2,30,X,X,X,318,1,
110,S3,41,73,S1,37,90,SO2,35,88,SO2,30,257,4.4,
86,SO2,35,105,S3,25,103,S3,35,102,S3,35,250,4.8,
81,SO2,35,86,SO2,32,43,53,30,84,SO2,30,252,4.7,
106,S3,29,105,S3,27,80,SO2,27,102,S3,25,233,6.6,
88,SO2,27,81,SO2,27,88,SO2,25,84,SO2,30,241,8.5,
94,SN2,26,93,SN2,26,102,S3,30,99,SN2,35,231,9.7,
80,SO2,25,79,SO2,25,97,SN2,25,63,S1,30,247,9.6,
73,S1,44,82,SO2,40,70,S1,42,X,X,X,236,13.3,
82,SN2,37,110,S1S3,50,112,S1S3,42,X,X,X,210,9.9,
X,X,X,116,SN2S3,33,81,SN2,26,116,SN2S3,33,207,8.7,
70,SO2,35,90,S3,30,92,S3,25,60,S1,30,226,10.9,
X,X,X,68,SO2,30,52,S1,32,77,SO2,35,235,8.4,
79,SO2,35,110,SN2S3,35,57,S1,39,77,SO2,39,238,6.2,
110,SN2S3,34,118,SN2S3,34,52,S1,20,76,SO2,28,203,4.7,
72,SO2,22,63,S1,32,70,S1,40,73,SO2,35,134,1.7,
X,X,X,87,SO2,36,85,SO2,34,X,X,X,117,3.4,
62,S1,39,74,S1,32,78,SO2,28,108,S1S3,32,122,3.6,
98,S3,39,67,S1,35,64,S1,35,84,SO2,32,115,1.9,
81,SO2,29,76,S1,37,75,S1,35,84,SO2,35,117,2.2,
76,SO2,26,57,S1,26,46,X,15,41,51,20,146,1.9,
76,SO2,26,69,S1,33,67,S1,32,65,S1,30,158,1.1,
93,SN2,20,88,SO2,25,71,S1,35,81,SO2,22,191,0.1,
83,S1,35,100,SN2,30,63,S1,25,79,S1,20,191,0,
84,S1,34,70,X,45,103,SN2,26,74,S1,35,333,0.5,
78,S1,39,75,S1,40,60,70,44,68,X,36,3,0.8,
57,67,36,76,S1,35,67,X,46,76,S1,30,354,1.5,
83,SO2,39,70,S1,33,84,SO2,27,84,SO2,22,333,1.8,
82,SO2,40,64,X,44,58,68,30,81,SO2,27,224,5.3,
76,S1,38,87,SO2,36,115,S1 S3,42,113,S1 S3,42,238,8.9,
105,S3,30,82,SO2,30,88,SO2,40,61,X,40,233,8.8,
X,X,X,86,SO2,33,76,S1,35,65,X,40,230,10.5,
X,X,X,79,SO2,31,74,S1,41,106,S3,35,255,9.4,
95,SN2,39,66,X,39,85,SO2,44,92,SN2,42,243,10.9,
X,X,X,79,SO2,41,76,SO2,46,65,X,49,231,13.4,
51,X,38,63,S1,40,74,SO2,36,86,SN2,38,231,11.8,
110,S1 S3,43,66,S1,35,72,SO2,19,78,SO2,33,245,11.5,
79,SO2,36,65,S1,35,64,S1,21,79,SO2,34,262,5.4,
81,SN2,34,31,51,40,52,X,40,53,X,38,255,13.7,
65,S1,36,73,SO2,37,56,X,40,109,S1 S3,35,207,8,
91,SN2,35,79,SO2,31,69,S1,35,65,S1,39,206,10,
46,56,41,75,SO2,38,112,SN2 S3,40,X,X,X,219,10.2,
92,SN2,20,86,SN2,20,103,S1 S3,26,77,SO2,23,148,1,
43,63,38,101,SN2,44,74,S1,44,81,SO2,36,274,7,
X,X,X,69,X,36,80,SO2,36,88,SO2,44,236,9.1,
60,X,33,72,S1,35,61,X,40,90,SN2,30,240,9.8,
89,SN2,33,78,SO2,35,67,S1,34,81,SO2,34,260,5.6,
X,X,X,97,SN2,19,114,SO2 S3,33,111,SO2 S3,34,248,5.7,
82,SO2,30,60,X,45,75,SO2,32,80,SO2,31,266,8.4,
49,69,44,81,SO2,35,65,X,33,102,S3,23,231,5.3,
85,SO2,41,78,SO2,37,73,SO2,33,79,SO2,35,257,6.4,
78,SO2,34,89,SO2,42,74,SO2,37,73,SO2,36,198,7.4,
72,SO2,35,101,SN2,43,81,SO2,41,68,S1,40,218,8.6,
79,SO2,41,55,X,43,85,SO2,43,68,S1,43,167,8.2,
97,S3,39,87,SN2,38,77,SO2,40,53,X,38,245,11.5,
98,S3,41,68,S1,36,85,SN2,28,81,SO2,34,224,10.5,
66,S1,40,87,SN2,36,83,SN2,36,89,SN2,37,230,9.9,
71,SO2,28,48,58,35,102,S3,35,83,SO2,35,255,12.6,
109,S3,44,75,SO2,36,91,SN2,36,64,S1,37,217,12.8,
64,S1,36,67,S1,37,76,SO2,33,74,SO2,33,244,10.2,
76,SO2,33,87,SN2,31,89,SN2,35,76,SO2,30,227,11.8,
72,SO2,32,62,S1,34,49,59,41,91,SN2,33,224,11.6,
95,SN2,32,45,55,30,59,X,40,70,SO2,29,186,8.6,
109,S3,44,107,S3,36,99,SN2,36,88,SN2,33,241,7.4,
80,SN2,30,86,SN2,29,66,S1,36,76,SO2,32,226,11,
94,SN2,33,36,56,35,58,X,39,79,SO2,34,251,9,
80,SN2,29,78,SO2,36,68,S1,40,88,SN2,36,243,11.8,
95,SN2,31,82,SN2,30,83,SN2,31,88,SN2,30,227,12.7,
59,X,41,95,SN2,33,64,S1,35,95,SN2,28,229,14.7,
58,X,31,77,SO2,33,96,SN2,35,60,X,36,233,11.9,
80,SO2,34,60,X,45,100,SN2,35,X,X,X,240,12.8,
82,SO2,34,79,SO2,35,55,X,42,52,62,38,210,9.2,
62,X,45,64,X,43,71,S1,41,X,X,X,178,9.5,
62,X,46,93,SN2,47,60,X,46,76,SO2,45,242,6.6,
X,X,X,70,S1,45,71,S1,40,110,S3,36,252,9.2,
116,S1 S3,36,74,SO2,33,87,SN2,32,X,X,X,217,9,
82,SO2,41,78,SO2,40,91,SN2,39,X,X,X,224,8.7,
113,S1 S3,42,74,SO2,37,X,X,X,99,SN2,4,170,8.1,
X,X,X,86,SN2,33,68,S1,37,73,SO2,33,210,10.3,
80,SN2,34,67,S1,35,79,SN2,40,88,SN2,40,182,10,
89,SN2,38,115,S3 SN2,44,78,SO2,40,68,S1,40,209,11.9,
82,SN2,37,89,SN2,42,62,S1,42,80,SN2,39,167,10.7,
89,SN2,35,73,SO2,34,84,SN2,58,71,SO2,32,207,10,
63,S1,35,103,SN2 S3,36,56,X,44,80,SN2,32,198,9.6,
98,S1 S3,31,77,SN2,33,69,SO2,28,56,S1,34,222,6.2,
80,SN2,33,58,S1,36,96,S1 S3,34,72,SO2,35,181,9.6,
90,S3,40,80,SN2,35,90,S3,33,76,SN2,31,191,9.6,
77,SN2,29,100,SN2 S3,29,71,SO2,33,84,SN2,29,162,9.4,
63,S1,41,91,S3,34,71,SO2,33,X,X,X,200,7.7,
88,SN2,34,91,S3,29,105,SN2 S3,34,83,SN2,33,218,7.8,
54,S1,33,63,S1,31,63,S1,40,58,S1,36,212,10.4,
87,SN2,35,70,SO2,34,95,S3,40,47,X,41,142,7.4,
60,S1,38,62,S1,38,69,SO2,32,X,X,X,214,9.7,
76,SN2,31,89,SN2,40,70,SO2,31,63,S1,40,214,14.7,
75,SN2,35,115,SN2 S3,40,90,S3,30,70,SN2,33,154,9.2,
X,X,X,75,SN2,33,86,S3,27,60,SO2,23,202,8.7,
84,SN2,30,63,SO2,25,50,S1,22,60,SO2,20,218,8.7,
94,S3,37,68,SO2,36,82,SN2,36,97,S3,37,218,13.5,
72,SO2,36,58,S1,32,61,S1,37,74,SO2,36,161,6.9,
97,S3,46,36,46,37,69,SO2,36,64,S1,36,249,5.4,
78,SN2,35,63,SO2,34,76,SN2,36,88,SN2,37,165,7.4,
108,SN2 S3,39,102,SN2 S3,39,82,SN2,39,72,SO2,40,130,6.7,
74,SN2,28,77,SN2,28,67,SO2,31,X,X,X,155,10.6,
92,S3,42,90,S3,33,77,SN2,32,59,S1,28,224,6.6,
64,S1,37,47,X,35,44,X,33,75,SN2,32,141,8.1,
84,SN2,33,77,SN2,28,85,SN2,30,74,SN2,31,215,7.7,
78,SN2,33,74,SN2,35,72,SN2,30,93,S3,37,243,7.2,
30,40,27,42,X,38,59,S1,41,88,SN2,38,174,13.5,
62,S1,36,82,SN2,34,74,SN2,44,70,SN2,29,186,10,
113,S1 SN2 S3,40,63,S1,39,65,S1,43,X,X,X,174,6,
84,SN2,40,41,X,44,57,S1,38,70,SN2,30,203,5.1,
X,X,X,79,SN2,36,47,X,36,68,SO2,35,195,8.2,
79,SN2,35,54,S1,35,93,S3,35,111,SO2 SN2 S3,40,137,12.7,
68,SO2,28,98,S1 S3,38,54,S1,31,X,X,X,221,6.5,
X,X,X,79,SN2,28,86,SN2,30,X,X,X,221,9.5,
TW50,X,34,TW50,X,38,TW50,X,34,TW50,X,38,214,9,
85,SO2,33,90,SN2,28,79,SO2,25,106,S1 S3,33,257,12.1,
85,SO2,26,88,SO2,26,56,S1,18,103,S3,26,238,11.2,
67,S1,28,81,S1,40,91,SO2,30,85,SO2,30,249,12.6,
103,S3,31,60,X,34,75,S1,32,71,S1,32,217,13.3,
93,SO2,34,86,SO2,26,87,SO2,27,95,SO2,34,250,9.5,
76,S1,40,67,S1,38,87,SO2,29,57,X,36,259,11.7,
84,S1,44,94,SO2,40,63,X,34,92,SO2,36,238,10.4,
72,S1,36,84,S1,40,79,S1,36,106,S3,30,227,11.9,
72,S1,33,64,X,38,59,X,34,78,S1,41,215,8.7,
89,SO2,40,60,X,35,67,S1,34,62,X,45,259,10.5,
106,S3,31,64,X,42,62,X,40,98,SN2,34,215,14.1,
82,SO2,40,67,S1,36,67,S1,36,99,SN2,34,225,12.1,
65,S1,40,60,X,41,74,S1,38,99,SN2,37,276,7.7,
115,S1 S3,45,86,SO2,40,44,54,34,69,S1,37,228,10.3,
86,SO2,36,53,X,38,69,S1,35,98,SN2,37,208,14,
76,SO2,33,91,SN2,35,106,S1 S3,38,58,X,41,229,13.5,
80,SO2,34,65,S1,43,80,SO2,34,101,S3,38,230,14,
87,SO2,37,61,S1,38,109,S1 S3,43,98,SN2,35,238,15,
87,SO2,40,59,S1,31,64,S1,34,79,SO2,39,235,10.2,
103,S1 S3,40,87,SO2,44,X,X,X,105,S1 S3,40,200,13.4,
61,S1,38,87,SO2,41,78,SO2,41,112,SO2 S3,36,203,10.1,
57,S1,39,55,S1,46,95,SN2,46,73,SO2,44,194,8.7,
110,SN2 S3,43,64,SO2,41,63,SO2,41,90,S3,43,186,17,
54,SO2,25,60,SO2,24,57,SO2,20,75,SN2,30,203,14.3,
86,SN2,40,53,S1,36,50,X,46,59,S1,42,244,17,
91,SN2,46,84,SN2,41,60,S1,46,52,S1,41,200,17.7,
X,X,X,82,SN2,42,78,SO2,42,60,SO2,31,162,18.5,
80,SN2,46,94,S3,53,108,SO2 S3,53,X,X,X,210,13,
X,X,X,75,SN2,35,70,SN2,33,76,SN2,25,176,16,
X,X,X,85,S3,41,111,SN2 S3,47,76,SN2,39,218,11.4,
