weight4,setup4,speed4,weight3,setup3,speed3,weight2,setup2,speed2,weight1,setup1,speed1,wind_dir,wind_speed,
78,S1,36,38,58,36,73,S1,34,X,X,X,189,4.5,
67,S1,34,43,53,33,37,57,32,90,SO2,33,117,8.2,
98,SO2,36,65,S1,34,72,S1,33,71,S1,32,140,7.3,
89,SO2,34,65,X,36,83,S1,36,77,S1,31,135,8,
77,S1,30,70,S1,34,79,S1,33,82,S1,36,103,7.9,
80,S1,37,57,X,35,60,X,35,57,X,35,126,6,
X,X,X,97,SO2,38,32,62,42,116,S3,35,139,7.3,
43,63,38,62,X,37,76,S1,36,83,S1,36,158,8.1,
109,SN2,35,79,S1,32,49,X,26,95,SO2,36,124,7.3,
75,S1,32,71,S1,33,89,SO2,31,X,X,X,118,8.5,
114,S3,33,78,S1,33,54,X,37,69,S1,38,118,6.7,
65,X,44,84,S1,43,57,X,38,X,X,X,96,6.5,
78,S1,42,37,57,40,66,X,37,34,64,36,148,8.8,
71,S1,35,43,63,37,66,X,38,83,S1,38,101,4.7,
103,SN2,36,77,S1,36,56,X,37,75,S1,35,146,6.4,
94,SO2,34,69,S1,34,127,SN2X2 S3,36,116,S3,39,71,5.3,
87,SO2,38,83,S1,45,73,S1,39,61,X,40,120,9.7,
84,SO2,39,58,X,34,100,SN2,34,69,S1,39,131,6.8,
62,X,40,46,56,37,77,S1,36,110,S3,32,139,7.3,
59,X,41,78,S1,40,80,S1,43,117,S3 SO2,43,153,6.5,
83,SO2,34,71,S1,35,110,S3,41,79,S1,37,136,8,
70,S1,27,37,57,33,56,X,35,66,X,37,125,10.2,
81,SO2,31,71,S1,33,77,SO2,34,51,X,34,113,6.5,
68,S1,33,43,63,34,80,S1,34,57,X,38,106,10,
91,SO2,33,74,S1,35,62,X,37,79,S1,39,129,12.5,
53,X,34,67,S1,34,30,60,35,88,SO2,36,139,9.2,
X,X,X,87,SO2,32,35,65,35,74,S1,31,198,10.8,
92,SO2,32,52,X,22,88,SO2,35,72,S1,36,162,11.9,
X,X,X,99,SN2,31,74,S1,39,75,S1,39,148,12.9,
66,S1,37,59,X,37,112,S3,44,68,S1,42,160,7.8,
71,S1,41,95,SN2,40,48,58,40,74,S1,45,33,8.2,
X,X,X,58,X,48,83,SO2,38,77,S1,42,126,7.6,
X,X,X,X,X,X,100,SN2,36,90,SO2,43,168,7.2,
98,SN2,34,30,50,30,57,X,33,73,S1,41,158,7.5,
62,S1,28,81,SO2,28,87,SO2,33,58,X,33,130,8.2,
90,SO2,37,68,S1,35,33,53,29,55,X,41,128,9,
67,S1,39,109,S3,36,58,X,42,80,SO2,32,127,2.9,
74,SO2,33,100,SN2,38,55,X,39,81,SO2,43,188,3.8,
72,S1,43,63,S1,35,53,X,39,86,SO2,35,198,8.4,
92,SN2,35,63,S1,36,81,SO2,35,72,SO2,27,161,8.7,
97,SN2,30,68,S1,37,56,X,37,76,SO2,24,98,11.1,
X,X,X,X,X,X,65,S1,30,78,SO2,25,178,9.8,
95,SN2,25,57,X,35,99,SN2,34,90,SO2,33,91,7.9,
X,X,X,89,SO2,33,83,SO2,20,86,SO2,33,118,8.3,
73,S1,38,50,X,35,74,S1,43,113,S3,35,123,10.6,
48,58,26,64,S1,34,83,SO2,26,30,60,26,118,8.5,
X,X,X,54,X,44,56,X,46,56,X,45,144,10.7,
55,X,42,74,S1,44,92,SO2,46,45,55,42,138,8.6,
87,SO2,33,62,S1,33,68,S1,38,54,X,35,167,7.9,
66,S1,35,88,SO2,35,45,55,30,88,SO2,41,119,10.2,
97,SN2,36,50,X,30,74,S1,42,X,X,X,144,11,
48,58,37,34,54,42,76,SO2,39,X,X,X,168,11.5,
90,SO2,30,62,S1,30,90,SO2,36,98,SN2,33,146,10.8,
82,SO2,39,59,S1,34,61,S1,31,110,S3,34,117,10.1,
76,S1,37,66,S1,35,59,X,36,87,SO2,35,121,11.6,
X,X,X,103,SN2,35,51,X,24,39,59,24,128,1.5,
103,SN2,35,85,SO2,39,84,SO2,31,62,S1,30,144,7.4,
83,SO2,31,85,SO2,31,68,S1,31,73,S1,38,118,9.8,
76,S1,44,65,S1,39,54,X,41,76,S1,40,111,6.8,
64,S1,33,71,S1,36,31,61,32,39,59,29,115,9.8,
30,61,28,79,S1,34,55,X,33,90,SO2,25,138,12.3,
103,SN2,36,111,S3,36,51,X,29,108,S3,33,127,7.8,
93,SN2,25,86,SO2,27,73,S1,29,87,SO2,31,124,6.1,
98,SN2,30,74,S1,34,51,X,27,82,SO2,28,113,5.2,
X,X,X,87,SO2,34,65,S1,27,83,SO2,30,150,7.8,
92,SO2,38,67,X,38,41,61,36,53,X,36,144,5.8,
84,SO2,36,36,56,30,100,SN2,34,80,SO2,28,134,3.7,
X,X,X,72,S1,34,56,X,32,88,SO2,32,131,6.9,
69,S1,34,85,SO2,32,42,62,26,115,S3,34,113,5.2,
102,S3,32,77,S1,41,65,S1,36,96,SN2,38,139,6.6,
65,X,39,55,X,34,55,X,36,62,X,36,120,5.1,
X,X,X,70,S1,37,51,X,32,58,X,36,117,10.3,
X,X,X,48,58,33,74,S1,37,114,S3,35,141,4.3,
77,S1,36,58,X,34,75,S1,34,46,56,32,123,6.1,
74,S1,42,55,X,37,55,X,32,54,X,35,135,9.2,
73,S1,38,78,S1,38,69,S1,35,72,S1,36,105,6.5,
X,X,X,98,SN2,32,X,X,X,X,X,X,139,7.5,
92,SN2,28,82,SO2,37,X,X,X,90,SN2,28,132,9.8,
81,SO2,33,37,57,29,59,X,34,X,X,X,130,11.3,
71,S1,33,93,SN2,28,64,S1,26,76,S1,34,129,7.4,
89,SO2,30,55,X,28,56,X,35,79,S1,37,46,8.5,
51,X,25,32,52,27,72,S1,32,X,X,X,168,11.3,
84,SO2,35,92,SN2,33,54,X,27,79,S1,38,128,11.4,
73,S1,33,60,X,33,81,SO2,30,94,SN2,28,138,9.5,
108,S3,32,102,S3,34,53,X,29,53,X,38,138,6.4,
X,X,X,56,X,38,80,SO2,29,53,X,33,127,8.7,
X,X,X,113,S1S3,38,103,S3,36,102,S3,30,131,9.3,
55,X,39,80,SO2,32,80,SO2,32,87,SO2,34,126,12.8,
39,59,38,75,S1,36,54,X,34,64,S1,32,122,11.3,
77,S1,36,75,S1,42,83,SO2,38,115,S1 S3,35,143,7.5,
X,X,X,103,S3,34,85,SO2,35,71,S1,38,139,12.1,
72,SO2,27,62,S1,34,64,S1,34,73,S02,34,149,12.6,
71,SO2,,50,X,32,95,SN2,35,98,SN2,36,139,14.4,
X,X,X,X,X,X,73,S1,38,82,SO2,34,122,13.8,
47,X,34,56,X,38,53,X,34,91,SN2,31,180,7.1,
87,SO2,37,66,S1,35,56,X,41,53,X,32,142,6.3,
101,SN2,35,59,X,37,82,SO2,34,X,X,X,142,10.3,
X,X,X,40,50,29,62,S1,38,37,47,32,119,8.2,
X,X,X,102,SN2,34,55,X,39,33,53,31,139,9.4,
X,X,X,63,S1,32,76,SO2,32,95,SN2,37,131,8.4,
67,S1,35,100,SN2,33,48,X,28,93,SN2,30,98,5.9,
66,S1,32,48,X,30,70,S1,32,95,SN2,33,149,6.8,
X,X,X,119,SO2 S3,42,67,S1,37,67,S1,35,133,6.7,
66,S1,38,49,X,32,33,53,32,104,S3,36,134,11.2,
76,S1,37,54,X,35,83,SO2,33,62,S1,30,134,12.6,
X,X,X,49,X,33,62,S1,31,66,S1,33,134,11.2,
99,SN2,33,51,X,33,44,X,31,90,SO2,37,188,10.4,
84,S02,27,63,S1,31,58,X,31,64,S1,29,117,5.2,
54,X,30,115,S1 S3,34,63,S1,34,43,53,32,127,7.9,
X,X,X,92,SN2,32,104,S3,35,83,SO2,30,103,9.4,
X,X,X,41,51,32,77,SO2,32,54,X,30,110,9.8,
81,SO2,30,42,52,31,60,S1,32,75,SO2,31,113,9.5,
78,SO2,30,61,S1,34,42,52,30,48,X,27,127,10.5,
X,X,X,73,SO2,25,86,SO2,32,X,X,X,110,7.1,
81,SO2,31,66,S1,31,66,S1,36,53,X,31,108,4.1,
59,X,38,79,SO2,31,69,S1,34,64,S1,31,129,7.3,
94,SO2,43,82,S1,40,75,S1,39,60,X,34,155,5.5,
X,X,X,53,X,42,32,52,36,76,S1,34,146,6.9,
74,S1,34,36,56,33,49,X,30,53,X,24,113,9.4,
62,X,35,80,S1,35,89,SO2,27,69,S1,27,92,5.1,
91,SN2,34,94,SN2,32,101,SN2,33,72,S1,34,107,3.1,
79,S1,33,59,X,32,74,S1,29,76,S1,31,127,6.4,
X,X,X,74,S1,41,55,X,30,68,S1,42,151,6.7,
60,X,44,57,X,34,41,51,26,77,S1,40,138,10.9,
67,S1,37,50,X,36,63,X,38,107,SN2,37,132,7.7,
X,X,X,87,SO2,29,50,X,29,47,X,29,117,9,
55,X,34,93,SN2,37,74,S1,36,75,S1,43,133,14.2,
X,X,X,75,S1,41,90,SO2,39,89,SO2,38,126,6.4,
58,X,41,102,SN2,38,65,S1,36,69,S1,34,126,10.1,
X,X,X,31,61,35,80,S1,43,46,X,21,158,8.7,
61,X,36,85,SO2,38,63,X,41,87,SO2,37,147,5.8,
68,S1,36,60,X,35,66,S1,34,69,S1,36,170,6,
74,S1,32,73,S1,34,85,SO2,34,101,SN2,38,146,10.3,
X,X,X,81,SO2,32,77,SO2,34,102,SN2,36,154,11.5,
62,X,32,71,S1,33,45,65,34,91,SO2,28,146,9.6,
88,SO2,38,102,SN2,40,35,65,43,58,X,38,144,7.1,
93,SO2,42,63,X,44,96,SO2,43,86,S1,47,194,10.4,
X,X,X,37,67,37,69,X,44,X,X,X,151,13,
TW50,X,33,TW50,X,33,TW50,X,36,TW50,X,37,138,15.2,
X,X,X,81,S1,39,57,X,30,75,S1,39,120,14.1,
62,X,34,80,S1,32,82,S1,30,64,X,32,153,12.8,
42,62,43,49,59,30,84,S1,37,X,X,X,139,16.6,
74,S1,34,54,X,36,64,X,43,73,S1,36,141,14.6,
56,X,37,58,X,35,93,SO2,35,44,64,37,113,14.3,
56,X,40,55,X,35,75,S1,36,66,X,32,174,15.6,
65,S1,32,88,SO2,33,55,X,36,80,S1,37,148,11.5,
79,S1,48,83,S1,48,60,X,48,X,X,X,96,9.9,
61,X,37,53,X,34,89,SO2,36,X,X,X,193,15,
63,S1,35,77,SO2,34,62,S1,33,106,S3,36,153,13.9,
79,SO2,37,50,X,36,42,52,35,77,SO2,35,130,16.1,
X,X,X,X,X,X,102,S3,28,111,SN2 S3,28,123,8.9,
X,X,X,55,X,26,59,X,24,94,SN2,23,139,18.4,
63,X,42,52,X,40,39,59,42,80,S1,48,113,16.7,
82,S1,40,100,SN2,39,71,S1,40,115,SO2 S3,39,128,18.6,
X,X,X,72,S1,47,57,X,46,73,S1,48,153,12.2,
32,62,35,92,SN2,36,42,62,32,X,X,X,155,15.5,
104,SO2 S3,32,86,SN2,33,88,SN2,35,95,S3,35,165,17,
71,SO2,23,56,X,36,56,X,34,85,SO2,4,124,10.2,
98,S3,46,41,61,44,101,S3,43,56,X,40,115,14.6,
77,SO2,40,71,S1,37,61,S1,37,74,S1,40,96,10.2,
72,S1,40,83,SO2,40,72,S1,43,98,SN2,46,167,8.5,
74,SO2,30,86,SN2,33,69,SO2,23,41,X,24,129,15.7,
79,SN2,30,51,X,31,62,S1,36,76,SO2,30,172,18.1,
71,SO2,30,81,SN2,30,80,SN2,32,X,X,X,191,7.2,
90,SN2,34,36,56,35,56,X,33,X,X,X,160,11.6,
68,S1,35,83,SN2,38,70,SO2,43,55,X,44,233,9.2,
98,S3,40,53,X,43,77,SO2,44,87,SN2,45,123,12.9,
80,SN2,15,75,SN2,15,73,SN2,15,102,SO2 S3,16,114,16.9,
87,SN2,30,61,S1,33,42,X,32,92,S3,34,159,20.9,
98,S3,45,95,SN2,48,118,SO2 SN2 S3,46,95,SN2,45,192,15.2,
62,SO2,37,104,SO2 S3,36,87,S3,40,66,SO2,36,136,20.4,
78,SN2,24,94,S3,23,96,SO2 S3,26,78,SN2,28,159,10.9,
77,SN2,28,53,S1,23,85,S3,20,100,SO2 S3,28,149,16.3,
69,SO2,30,67,SO2,30,120,SN2X2 S3,26,53,S1,12,155,15.6,
74,SO2,36,66,S1,37,42,52,42,96,S1 S3,40,127,13.6,
106,S1 S3,33,51,X,36,55,X,33,84,SN2,37,186,13.6,
72,SO2,27,60,S1,30,87,SN2,23,83,SN2,20,143,14.9,
68,SO2,29,88,SN2,28,62,S1,30,94,S3,33,139,12.6,
85,SN2,37,82,SN2,35,108,SO2 S3,35,82,SN2,38,134,13,
86,SN2,29,41,51,32,67,SO2,33,91,S3,29,183,16,
90,S3,37,34,54,38,57,X,39,65,S1,40,187,12,
101,S3,39,94,SN2,38,X,X,X,X,X,X,158,10.6,
92,SN2,30,59,S1,32,57,S1,26,67,SO2,23,143,13.7,
69,S1,34,42,52,32,53,X,27,76,SO2,30,90,8.8,
74,SO2,31,67,S1,30,88,SN2,33,X,X,X,95,9.5,
66,S1,44,76,SO2,43,94,SN2,40,93,SN2,42,124,12.8,
77,SO2,36,112,SO2 S3,33,47,57,35,84,SO2,34,127,8.1,
82,SN2,30,90,SN2,23,89,SN2,26,60,X,24,125,12.9,
50,60,34,53,63,37,32,72,38,68,X,43,105,12.4,
61,S1,22,86,S3,23,97,SO2 S3,20,X,X,X,127,6.9,
X,X,X,60,S1,31,75,SO2,33,95,S3,35,221,10.6,
56,X,30,94,S3,32,103,S3,33,69,S1,34,96,8.5,
90,SN2,28,43,63,29,64,S1,25,93,S3,17,89,10.8,
83,SO2,30,58,X,32,71,S1,34,105,S3,28,122,10.9,
59,X,39,47,67,38,50,70,36,77,S1,34,94,9.4,
117,SO2 SN2 S3,34,X,X,X,X,X,X,103,S3,31,153,9.4,
85,SN2,31,72,SO2,35,80,SN2,37,93,S3,41,104,10.4,
103,S3,42,78,SO2,37,44,64,38,41,61,40,119,11.6,
55,65,36,46,66,35,58,68,35,70,SO2,27,72,6.2,
65,X,41,42,72,42,74,S1,39,98,SN2,30,101,8.8,
X,X,X,X,X,X,48,68,44,99,SN2,34,113,8.2,
103,S3,15,72,S1,28,65,S1,26,73,S1,28,134,9.4,
X,X,X,69,S1,32,47,57,30,87,SO2,34,133,10.1,
X,X,X,62,X,38,78,S1,35,82,SO2,32,112,8,
85,SO2,30,63,X,39,106,SN2,37,70,S1,30,117,12.3,
49,59,38,90,SO2,37,80,SO2,34,92,S02,34,142,11.8,
65,X,38,33,53,24,42,52,25,77,S1,36,98,10.5,
104,SN2,34,75,S1,34,65,X,38,61,X,32,106,12.1,
78,S1,42,88,SO2,38,49,59,31,40,60,35,115,12.4,
84,SO2,24,X,X,X,X,X,X,85,SO2,21,105,12.3,
54,X,37,X,X,X,67,X,34,41,51,34,105,14.8,
79,S1,35,52,X,33,71,S1,33,92,SO2,35,109,14.5,
55,X,25,39,59,24,33,53,22,49,59,21,131,12.3,
73,S1,34,58,X,31,37,57,31,99,S02,36,102,10.1,
70,S1,32,32,52,25,43,53,27,82,SO2,36,109,14.5,
74,S1,34,70,S1,34,95,SO2,28,103,SN2,32,68,11.4,
109,SN2,37,64,X,35,58,X,37,85,SO2,37,117,14.8,
89,SO2,37,72,S1,35,91,SO2,40,64,X,37,103,9.4,
X,X,X,89,SO2,31,69,S1,27,101,SN2,25,124,10.8,
94,SN2,28,71,S1,34,64,X,36,82,SO2,28,121,11.7,
66,X,38,86,SO2,33,74,S1,33,61,X,35,119,9.6,
93,SO2,40,56,X,34,59,X,35,94,SO2,40,108,9.7,
51,X,41,60,X,40,81,SO2,23,61,X,55,114,11.7,
65,S1,30,91,SN2,30,87,SO2,32,73,S1,42,68,7.8,
57,S1,32,80,SO2,34,86,SO2,35,80,SO2,30,105,9.8,
97,S3,33,77,SO2,35,68,S1,35,76,SO2,37,148,9.6,
63,S1,36,60,S1,38,60,S1,35,102,S3,40,130,11.4,
90,SN2,34,80,SO2,31,48,58,32,87,SN2,30,128,3.5,
63,S1,38,109,SO2 S3,42,75,SO2,40,101,S3,41,115,7.6,
90,S3,38,45,55,40,96,S3,35,46,56,37,175,5.5,
57,X,42,74,SO2,30,57,X,41,72,SO2,30,79,5.8,
75,SO2,34,66,S1,36,57,X,38,71,SO2,20,138,6.1,
X,X,X,96,S3,30,33,63,39,72,SO2,32,117,12,
X,X,X,97,S3,24,91,S3,34,74,SO2,23,77,7.5,
X,X,X,67,S1,34,87,SN2,35,64,S1,33,150,3.3,
X,X,X,81,SN2,34,67,S1,38,45,55,35,143,9.1,
91,S3,38,76,SO2,36,73,SO2,35,80,SN2,34,125,8.5,
87,SN2,34,79,SN2,23,110,SO2 S3,33,93,S3,33,113,6.7,
X,X,X,102,SN2 S3,22,104,SN2 S3,24,52,X,28,147,6.8,
87,SO2,32,68,S1,35,70,S1,33,103,S3,34,120,9.8,
99,S3,33,70,SO2,35,78,SO2,37,64,S1,38,129,9.6,
52,62,38,64,X,40,80,SO2,34,90,SN2,33,127,9.9,
X,X,X,57,X,40,35,65,40,90,SN2,34,148,13.3,
127,SN2X2 S3,30,80,SO2,32,110,SO2 S3,27,80,SO2,38,185,18.8,
96,S3,36,90,SN2,34,X,X,X,82,SO2,35,170,9.9,
X,X,X,113,SN2 S3,35,69,SO2,35,71,SO2,37,130,10.6,
X,X,X,79,SO2,35,75,SO2,31,64,S1,30,154,13.5,
57,X,34,85,SO2,34,58,X,39,48,68,41,115,19.4,
73,SO2,22,34,64,30,100,SN2,30,X,X,X,108,13.3,
66,X,39,56,X,34,75,SO2,24,78,SO2,32,134,14.5,
99,S3,40,63,S1,32,95,SN2,33,43,63,34,126,11.5,
36,66,37,93,SN2,33,58,X,36,79,SO2,36,108,12.4,
104,S3,36,82,SO2,35,51,X,34,78,SO2,33,127,14.9,
86,SO2,33,95,S3,33,64,S1,34,101,S3,36,149,14.8,
95,S3,28,43,63,35,106,S3,35,X,X,X,135,16.2,
94,SN2,30,70,SO2,26,X,X,X,X,X,X,121,12.6,
X,X,X,95,SN2,40,62,X,36,87,SO2,32,139,7.8,
69,S1,33,76,S1,35,63,X,37,X,X,X,103,6.8,
99,S3,37,83,SO2,37,89,SN2,37,52,X,38,115,7.9,
85,SO2,40,62,S1,32,66,S1,36,73,S1,39,151,8.2,
62,X,43,78,SO2,40,106,S3,41,83,SO2,38,159,9.6,
51,X,32,42,62,32,91,SN2,6,41,61,32,128,11.8,
32,62,24,92,SN2,22,80,SO2,24,102,S3,25,109,5.8,
60,X,32,62,X,32,67,X,37,56,X,32,106,11.3,
86,S1,39,75,S1,32,53,X,36,96,SO2,32,108,8.9,
X,X,X,92,SO2,32,55,X,34,59,X,36,123,7.7,
98,SN2,34,92,SN2,32,51,X,32,86,SO2,29,124,6.3,
127,S1 S3,35,110,S3,33,84,SO2,34,X,X,X,115,6.9,
70,S1,33,89,SO2,28,81,SO2,33,X,X,X,122,5.1,
X,X,X,76,S1,33,53,X,22,84,SO2,34,93,5.6,
73,S1,33,66,X,35,84,SO2,33,104,SN2,31,118,6.2,
58,X,32,38,68,38,37,67,36,86,SO2,34,157,3.7,
X,X,X,97,SN2,29,58,X,32,78,S1,34,123,6.3,
66,X,35,40,60,28,59,X,30,39,69,30,115,8.1,
X,X,X,83,SO2,33,63,X,37,40,60,26,98,6.8,
X,X,X,95,SO2,33,54,64,32,73,S1,S1,64,4.6,
93,SO2,35,58,68,32,72,S1,30,79,S1,34,74,1.7,
62,S1,23,80,SO2,24,62,X,30,117,S3,33,27,4.8,
84,S1,35,43,63,31,62,X,33,58,X,24,14,4.6,
X,X,X,77,S1,33,98,SO2,30,62,X,34,311,3.3,
75,S1,28,57,67,25,72,S1,16,75,S1,30,319,3.3,
90,SO2,31,80,S1,33,102,SN2,32,87,SO2,34,10,5.6,
97,SN2,32,89,SO2,34,67,X,36,74,X,38,344,3.9,
91,SO2,38,60,X,30,50,60,31,56,66,32,40,2.2,
90,SO2,32,84,S1,34,80,S1,38,97,SN2,33,251,1,
X,X,X,80,S1,37,50,60,35,52,62,33,335,5.8,
59,X,36,63,X,36,65,X,37,79,S1,35,124,2.5,
64,X,37,66,X,36,53,63,34,X,X,X,309,2.4,
45,65,31,51,61,32,52,62,33,91,SO2,30,209,0.9,
73,X,41,49,69,42,69,X,40,62,X,39,130,1.8,
47,67,33,76,S1,34,65,X,38,81,S1,36,229,0.5,
82,S1,40,91,SO2,41,73,X,45,X,X,X,75,3.4,
72,X,43,78,S1,47,71,X,52,97,SO2,42,110,1.5,
101,SN2,40,50,60,41,41,61,42,51,61,43,112,0,
X,X,X,73,S1,37,64,X,36,70,S1,35,160,1.5,
X,X,X,113,S3,32,76,S1,36,97,SN2,31,82,4.4,
99,S3,23,90,SN2,26,43,63,35,40,60,33,122,8.2,
56,X,41,66,X,40,45,65,36,78,S1,43,133,8.3,
X,X,X,75,S1,36,104,S3,31,48,68,31,134,7.8,
100,SN2,34,99,SN2,33,105,SN2,34,67,S1,36,95,4.2,
72,S1,41,95,SN2,34,53,63,37,40,60,40,122,5.9,
54,64,38,61,X,37,56,66,40,67,X,41,122,4.4,
99,SN2,39,61,X,40,62,X,38,80,SO2,42,58,5.8,
68,X,38,50,60,34,78,S1,26,X,X,X,138,3.7,
61,X,36,55,X,37,36,66,38,93,SO2,35,246,3.2,
89,SO2,40,106,S3,34,66,X,33,73,S1,28,106,3.9,
82,SO2,36,59,X,37,43,63,34,49,59,33,139,5.8,
56,66,34,73,S1,28,74,S1,31,85,SO2,31,115,5.9,
79,SO2,21,75,SO2,28,59,X,34,80,SO2,37,143,6.8,
80,SO2,40,62,X,42,45,65,43,69,X,48,198,5.7,
84,SO2,39,67,X,45,58,X,40,87,SO2,42,161,5.7,
75,SO2,35,82,SO2,36,101,S3,38,53,X,38,162,3.4,
55,X,33,48,X,32,108,SO2 S3,30,74,S1,33,165,2.4,
82,SO2,29,93,SN2,30,79,SO2,28,72,S1,34,246,3.5,
X,X,X,78,SO2,26,87,SN2,21,78,SO2,26,213,1,
107,S3,35,76,SO2,32,84,SO2,30,47,X,16,280,1.1,
70,S1,28,73,S1,31,85,SO2,33,34,64,31,319,1.1,
X,X,X,98,SN2,31,53,X,28,48,58,30,132,4.6,
60,X,34,78,SO2,33,65,S1,34,60,X,35,178,10.6,
TW50,X,25,TW50,X,30,TW50,X,26,TW50,X,22,233,11.6,
82,SO2,27,71,S1,30,73,S1,37,36,66,32,220,9.8,
X,X,X,82,SO2,24,51,71,36,42,62,30,232,6.6,
X,X,X,49,69,36,84,SO2,34,41,71,40,249,12.1,
64,X,50,78,SO2,30,81,SO2,30,82,SO2,30,251,11.7,
103,SN2,33,69,S1,33,77,SO2,27,85,SO2,25,225,13.5,
36,56,34,67,S1,30,60,S1,28,X,X,X,254,13,
73,S1,45,59,S1,32,53,X,49,X,X,X,209,11.8,
71,S1,40,52,X,35,92,SO2,35,X,X,X,233,12.8,
48,58,43,64,S1,36,94,SO2,40,89,SO2,33,219,13.4,
X,X,X,84,SO2,45,61,S1,38,68,S1,41,172,14.2,
X,X,X,123,SO2S3,51,74,SO2,36,82,SO2,48,212,14.3,
90,SN2,37,85,SO2,36,67,S1,43,94,SN2,39,226,16.1,
X,X,X,55,X,46,62,S1,43,63,S1,43,195,17.1,
74,SO2,38,40,50,39,76,SO2,40,83,SO2,32,242,19.7,
X,X,X,72,SO2,40,41,51,32,39,49,40,222,18.7,
90,SN2,36,53,X,44,62,S1,37,55,S1,32,217,15,
85,SO2,47,51,X,44,37,47,39,33,43,37,229,18.1,
60,S1,36,55,S1,30,87,SO2,41,67,S1,36,217,18.3,
X,X,X,X,X,X,88,SO2,33,87,SO2,36,204,18.8,
X,X,X,102,S3,32,107,S3,36,66,S1,42,245,15.8,
47,X,32,47,X,38,81,SO2,38,60,S1,38,234,19.9,
106,S3,48,74,SO2,32,77,SO2,38,75,SO2,42,238,19,
110,S1S3,39,80,SO2,40,60,S1,33,74,SO2,31,212,16.4,
91,SN2,45,61,S1,38,59,S1,41,75,SO2,38,204,20.5,
98,SN2,51,130,SN2X2S3,49,38,48,39,83,SO2,43,226,19.9,
106,S1S3,49,101,S1S3,47,69,S1,49,73,SO2,43,219,22.2,
88,SO2,51,68,S1,47,67,S1,47,63,S1,42,207,18,
74,SO2,32,94,SN2,36,71,SO2,26,97,SN2,34,191,17.2,
70,SO2,28,52,X,36,56,S1,33,68,S1,32,232,14.1,
73,SO2,27,51,X,32,97,SN2,27,X,X,X,232,11.5,
87,SO2,33,77,SO2,36,54,X,33,104,S1S3,21,237,13.1,
